,There's an open island right now!,"Use the Active Dodo Code column to share your current Dodo Code while you're open, and take it down when you're done.",,,,,,,,,,,,,,,,,,,
,Don't Leave an island from (-) menu!!!,"Turnip Mafia Discord Server should also be opening to the public next week, along with implementing basic conditional formatting!",,,,,,,,,,,,,,,,,,,
,Contact(Twitter/Discord),In-Game Name,Island,FC,Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Possible Pattern,Active Dodo Code,Timezone,Other notes
,@KnightCarmine/CarmineKnight#0114,Maddox,Knight,,100,87,83,79,75,70,67,-,-,299,148,106,68,Small Spike,,GMT -7 (PST),
,,Mercure,Ronron,,103,92,89,86,82,78,,,,,,,,"SS, BS or D",,GMT+1,Timezone GMT+1
,@CinderMar_Karen,Karen,CinderMar,,100,89,83,,98,198,515,,,,,,,,,GMT+4,Timezone GMT+4
,,Eria,Chupiisla,,109,128,85,77,69,149,66,62,153,124,114,100,122,Random,,GMT+1,
,@naniichanx,Levii,Montecki,,95,86,82,79,74,69,65,61,57,52,49,45,42,Decreasing ,,GMT+8,Tracking prices & probabilities on https://turnipprophet.io/
,Craziness#6234,Matchi,Canchi,,110,84,81,77,71,152,119,178,217,180,94,88,85,SS,,GMT+2,
,@solterrano/ya boi#2037,Bridge,Henrietta,SW-7025-4981-2711,97,64,61,57,54,88,,,,,,,,F or SS,,CST,Timezone CST
,TomasCLK#2280,Aika,Erijima,SW-0065-4613-5527,106,127,144,156,170,150,73,69,64,60,55,52,47,,,GMT+1,Timezone GMT +1
,blackmarketcds#6228,Erin,Doggies,,107,96,91,86,82,102,168,301,CLOSED,125,forgot,71,,BS,,PST,Tracking prices & probabilities on https://turnipprophet.io/
,@hydrogenglow,Renée,Whitebark,,90,122,87,86,62,55,46,,,,,,,fluctuating,,GMT-7,timezone gmt -7
,amet666#7092,cedricl,cedricl,,96,47,43,39,35,31,129,91,156,178,164,40,38,ss,,GMT+8,Timezone GMT +8 first buy
,SockMunster#6692,Amy,Hemingway,,95,,,,,,,,,,,,,,,,
,@AnnoDisc,AnnoDisc,Kasagara,,91,82,121,138,264,135,126,,,,,,,BS,,UTC+2,Timezone UTC +2
,Para_Dox#8525,Will,Paradocks,,110,forgot,72,108,,82,forgot,69,,CLOSED,,,,,,,
,@iSkwerl,Aaron,Moonstone,,94,65,59,99,93,CLOSED,,63,56,50,109,122,,Fluctuating,,GMT-6 / CST,Timezone GMT -6 (CST)
,@lordyoyi,Yoyi,Mielandia <3,,106,,,,,,,,,,,,,,,GMT-3,Timezone GMT -3
