,There's an open island right now!,Our discord server is now public! Join and make it easier than ever to communicate with your Turnip Mafia family!,,,,,,,,,,https://discord.gg/uj7CCTT,,,,,,,,,,,
,,Remember not to leave an island from the (-) menu as it can interfere with saving what was done!,,,,,,,,,,,,,,,,,,,,,
,Contact(Twitter/Discord),In-Game Name,Island,FC,# Bought,Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Pattern,Active Dodo Code,Previous Pattern,Timezone,Other notes
,@KnightCarmine/CarmineKnight#0114,Maddox,Knight,,20000,98,86,82,78,74,70,66,61,58,54,49,46,42,Decreasing,,Gentle Spike,GMT -7 (PST),
,rekt³#7601,Daniel,KiYorSara,,10000,95,83,79,76,73,69,66,62,58,54,51,47,43,Decreasing,,SS,GMT+10,
,mumumumu#6490,Mümü,Raftel,,4000,94,42,37,111,107,178,182,,51,47,,39,34,,,Big Spike,GMT-4,
,@naniichanx,Levii,Montecki ,,20600,95,59,51,103,115,120,104,74,68,61,104,119,89,Fluctuating ,,Decreasing ,GMT +8,turnipprophet.io 
,@Pacohertez,Quitsalot,Peterland,,6900,105,139,130,CLOSED,,128,140,80,74,66,97,66,67,Fluctuating / SS,,,PST,
,,ari,Blu Lagoon,,,100,123,130,114,126,,,,,,,,,Fluctuating,,Small Spike,GMT+7,
,@tigertigerplush / Tig0r#3984,Tiger,Isla Corgi,,13700,90,59,55,48,88,108,89,CLOSED,,92,,51,91,Random,,Big Spike,GMT+1,
,,bulldozr,Oceara,,9700,103,90,86,83,79,76,71,66,107,149,305,187,140,Big Spike,,Small Spike,GMT+2,
,,Eria,Chupiisla,,11600,94,116,99,138,151,CLOSED,,42,38,33,29,25,21,Small Spike,,Fluctuating,GMT+1,
,@nudlez_isoland,Nudlez,Isoland,,2180,92,90,86,121,84,69,69,62,121,,,62,75,,,,GMT+2,Sold on Tuesday PM on friends island for 121
,Craziness#6234,Matchi,Canchi,,10700,93,81,78,75,70,67,114,140,473,"Invalid, due to accidental TT",,,,Large spike,,Small Spike,Gmt +2,"Due to accidental TT, my pattern changed Thursday at 9 pm to SS peak sat"
,@RedFoxLacada,Angus,Lacada,,1500,110,126,136,150,88,83,73,148,151,115,,78,68,Fluctuating,,Random ,,Sold on Tues AM
,,Jorisa,TakkaTukka,,18100,106,96,91,86,137,198,514,186,104,44,71,80,81,Big Spike,,Fluctuating,GMT+2,
,@mirzinho7,BadMorz,Perroville,,12000,99,113,136,103,116,,,,,,,,,,,,,
,@JoeyvanAwesome,Joey,Moon Isle,,12000,93,91,64,59,110,,,,,,,,,,,,,
,,Luce,Beast,,41000,100,90,85,81,77,71,134,155,398,174,104,,,,,Random,,
,TomasCLK#2280,Aika,Erijima,SW-0065-4613-5527,7210,109,CLOSED,,109,127,139,67,61,112,130,72,67,61,Fluctuating,,Small Spike,GMT+1,
,@blondieC_,Carly,Honey,,,97,94,81,78,74,69,64,60,169,172,179,,,Decreasing,,Fluctuating,GMT -4,
,@DuboisMathew,Thieuthieu,Madalena,,35000,104,61,58,53,,,,,,,,,,,,,GMT+1,
,,Kurt,Kurtland,,3000,96,63,59,55,51,56,,,31,126,,,,,,,,
,GamingFS#6381 / @GamingFourStars,Gaming,Inkopolis,SW-2956-5650-4210,,101,87,84,80,76,71,68,104,172,350,200,,,Large spike,,Fluctuating,GMT -4,https://turnipprophet.io?prices=101.87.84.80.76.71.68.104.172.350...&pattern=0
,,Louie,Gold Isle,,11000,93,42,38,32,127,102,133,134,133,49,46,42,38,Small Spike,,Fuctuating,GMT - 4 / EST,tunipprophet.io
,@MercureAC ,Mercure ,Ronron ,,3000,104,100,120,66,,,,,,,,,,Fluctuating,,Big spike,GMT+1,
,chewy#0237,skittles,bonofield,,12000,91,70,65,-,91,55,50,45,99,-,86,,88,Fluctuating ,,Big spike,EST,
,Delightingale#1656,Jeanette,Mothra,,1100,92,41,38,107,106,136,143,129,56,53,,,,Small Spike,,Small Spike,CST,
,,Tom,Hispaniola,,11030,92,52,47,44,113,,159,160,155,68,,,,Small Spike,,Small Spike,GMT - 4 / EST,turnipprophet.io
,@msvolition,Eggy,Pearadise,,3180,106,84,80,77,73,69,64,119,145,149,151,149,73,SS 100%,,Fluctuating,PST,turnipprophet.io
,@mat_mto,mat,Matterhorn,SW-1722-5394-7804,4000,94,100,90,60,53,119,117,99,116,114,,,,,,,GMT-7,
,@asminnow,William,Curaçao,,7700,96,89,86,81,77,,,,,,,,,,,SS,"PST, GMT -7",
,Yodas_farmor#1023,FarmorYoda,Palice ,,5850,103,76,72,69,65,62,88,126,136,137,,,,Gentle spike,,Decreasing ,GMT+2,First time buying turnips. Sold on Wednesday PM on TakkaTukka
,@IsaChan116/ iVictory Victor#2493,Viktopui,BlackHouse,SW-4939-2581-2009,,98,70,67,102,111,131,135,,,,,,,Small Spike ,,,GMT+3,"Wednesday's the day, btw use https://turnipprophet.io/ "
,,Sayren,Nowhere,,12000,103,138,114,78,68,60,105,,,,,,,Fluctuating,,Small Spike,GMT +10,
,@iSkwerl,Aaron,Moonstone,,4000,110,58,55,50,45,41,,,,,,,,Small Spike,,Fluctuating,GMT -6 (CST),"Not checking anymore, sold mine at friend's island for 556."
,Luminous Moose#5423,Dan,Kwarenteen,,6100,99,88,83,78,75,126,156,253,166,128,80,59,66,Big Spike,,Fluctuating,,
,amet666#7092,cedricl,cedricl,,6000,97,112,103,110,112,67,110,59,,,,,,Fluctuating,,Small Spike,GMT +8,turnipprophet.io
,,Lex,Koselig,,12000,95,96,93,113,84,80,75,,,,,,,,,,,
,TazzenC#8897,Tazz,Blossom,,,110,113,104,137,135,112,103,68,63,56,152,71,66,Fluctating :(,,Fluctating,GMT +2 (CEST), Dm me if you want to visit :)
,@HykSs,Vinz,Long Island,,,90,78,75,71,67,65,60,112,133,201,128,96,37,Large Spike,,Small Spike,GMT+8,Peak Friday AM
,@LauraHG88,Laura,Hope,,,107,95,91,114,100,154,209,,,,,,,Small Spike 100%,,Small Spike,GMT,
,fayruj#7799,Fayruj,Skyrule,,4000,94,88,130,132,144,135,76,63,61,60,,,,Small Spike 100%,,decreasing,GMT+1,first time
,@RoseyMacdoo,Rosey,Frogtopia,,190,90,130,,101,71,,134,135,99,123,,,,,,,GMT+1,
,,Sim7,Cornwall,,,90,92,,,,,,,,,,,,,,,,
,@triplrrrocha,Rocky,Rucksville,,1100,95,130,75,68,62,,,,,,,,,fluctuating,,,,
,pixiestyxs#0008,Ardy,Ferngully,,,,125,,,137,129,65,,,,,,,,,,,
,Zudie98#9616,Chase,Chasemania,,3000,106,93,88,83,79,74,70,66,101,208,364,,,LS Peak Friday PM,,Decreasing,,
,@callmemaddiepie,Maddie,St. Jimmy,,,90,83,77,72,68,119,122,CLOSED,,166,,,,,,,GMT - 4 / EST,"First time, using turnipprophet.io"
,Paint#2315,Paint,Honeycove,SW-3096-3334-6231,,98,78,74,71,96,,,,,,,,,,,,,
,SpookyLord#1168,Spooky,Opalwood,SW-5899-5262-5689,4000,95,83,80,76,73,69,65,61,58,55,51,47,43,Decreasing :(,,Fluctuating,GMT-5(CST),
,@papakiku,Kiku,Orchid,,,108,132,,,,,,,,,,,,Fluctuating ,,Big spike,GMT-5 (CST),highest will only be like 216
,Daddy Dualscar (Pinkycat) #9895,Pinky,Caledon,,3310,96,107,103,89,91,65,59,91,74,137,140,,,fluctuating,,decreasing,EST,my highest was 140 this week
,@Ephotis#4924,Chris,Dunkerque,,,91,CLOSED,,70,68,65,60,56,48,44,,,,,,,,
,blackmarketcds#6228,Erin,Doggies,,8300,92,72,95,121,140,153,131,70,67,63,forgot,55,,,,,,
,Capt. Cannon,Capt. Cannon,Huxlandia,,3500,98,125,101,151,185,159,53,49,46,42,38,,,Small Spike,,Fluctuating,GMT -6 (CT),
,rat hours#5101,Milo,Mistwindo ,,9000,97,129,134,,,,,,,,,,,,,,,
,sarahfailin | @kingfishwes,Warsley,Isla Huevo,,,102,92,109,142,137,100,129,,,,,,,Fluctuating,,,,
,,Dave,Alethela,,0,,89,84,80,77,72,69,63,60,55,52,48,44,Decreasing,,Small Spike,UTC -6 (MDT),
,@natalieinigo,Monty,Moco,,1300,104,133,138,134,106,141,68,58,,,,,,Fluctuating ,,Fluctuating ,PST,
,@PsychoPyro813,Bridie,Nevinova,,970,101,68,98,105,164,174,156,missed,77,74,69,65,60,Gentle spike,,,GMT -5 (CDT),first time seller
,curvesandnerves#4686,Nora,Coronatown,,4000,98,105,110,67,58,49,136,124,110,106,98,78,73,Fluctuating,,,EST,First time seller
,@galaxi_games_,Beans,ANXIETY,,,106,forgot,88,84,80,130,132,,,,,,,Small Spike,,Small Spike,GMT-4,turnipprophet.io precicts peak prices (up to 636) on Thurs. am
,@ikendeji/inky#9671,Lea,Ereda,,4000,104,x,104,149,,,,,,,,,,Small Spike,,,,"first time seller, using turnipprophet.io to predict (highest likely 212)"
