,There's an open island right now!,Our discord server is now public! Join and make it easier than ever to communicate with your Turnip Mafia family!,,,,,,,,,,https://discord.gg/uj7CCTT,,,,,,,,,,Your base chance for each pattern is:,,,,,,,,,,,,
,,Remember not to leave an island from the (-) menu as it can interfere with saving what was done!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact(Twitter/Discord),In-Game Name,Island,FC,# Bought,Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Pattern,Dodo Code,Previous Pattern,Random,Gentle Spike,Big Spike,Decreasing,Timezone,Other notes,,,,,,,
,@KnightCarmine/CarmineKnight#0114,Maddox,Knight,,"24,000",102,114,130,167,180,155,62,58,,,,,,Gentle Spike,,Big Spike,50%,25%,5%,20%,GMT -7 (PST),,,,,,,,
,TomasCLK#2280,Aika,Erijima,SW-0065-4613-5527,,100,90,86,83,78,73,69,114,149,509,149,136,87,Big Spike,,Random ,20%,35%,30%,15%,GMT+1 (CET),,,,,,,,
,@Ri4dh/Riadh#3792,Riadh,Shmeow,SW-3770-5345-4032,13730,95,80,108,181,517,closed,closed,closed,closed,closed,closed,closed,closed,SS or BS,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,@msvolition,Eggy,Pearadise,,6300,92,CLOSED,,125,106,57,50,44,120,126,100,110,122,R,,Gentle Spike,45%,15%,25%,15%,GMT -7 (PST),,,,,,,,
,Wabbie#6919,Dave,Alethela,,2820,101,115,72,68,141,123,121,132,127,118,69,60,55,Random,,Decreasing,25%,25%,45%,5%,UTC -6 (MDT),,,,,,,,
,@HyKSs,Vinz,Long Island,,14000,97,73,68,63,93,104,77,71,105,133,115,106,95,Random,,Big Spike,50%,25%,5%,20%,GMT+8,,,,,,,,
,@naniichanx,Levii,Montecki ,,18800,93,83,78,75,72,69,94,128,132,161,142,50,46,Small Spike,,Decreasing,25%,25%,45%,5%,GMT +8,,,,,,,,
,auxyn#9937,auxyn,Isle Aegea,,,106,73,70,65,60,139,,173,204,,,,,SS or Random,,Random ,20%,35%,30%,15%,PST,,,,,,,,
,rekt³#7601,Daniel,KiYorSara,,10000,104,-,88,84,80,74,102,167,609,140,132,94,63,Big Spike,,Decreasing,25%,25%,45%,5%,GMT+10,,,,,,,,
,Craziness#6234,Matchi,Canchi,,10400,102,109,141,141,91,73,66,100,117,118,72,65,56,Fluctuating,,Gentle Spike,45%,15%,25%,15%,GMT+2,,,,,,,,
,Yodas_farmor#1023,FarmorYoda ,Palice ,,20450,99,,84,80,76,,68,65,129,163,369,145,118,,,Gentle Spike,45%,15%,25%,15%,GMT+2,,,,,,,,
,@IsaBousseau/Izzy#4457,Izzy,Gilligan's,SW-0321-7374-2437,1250,102,76,68,63,101,72,64,142,,114,95,132,,Fluctuating,,,,,,,,,,,,,,,
,@pacohertez,Quitsalot,peterland,,7000,109,90,89,82,138,280,384,180,133,85,78,80,84,,,Decreasing,25%,25%,45%,5%,,,,,,,,,
,,Eria,Chupiisla,,4000,96,85,81,78,74,70,65,103,190,522,163,111,85,Big Spike,,Gentle Spike,45%,15%,25%,15%,GMT+1,,,,,,,,
,@nudlez_isoland,Nudlez,Isoland,,3520,106,59,55,51,47,44,41,36,129,133,172,185,181,Gentle spike,,Random ,20%,35%,30%,15%,GMT+2 (CEST),,,,,,,,
,@tigertigerplush / Tig0r#3984,Tiger,Isla Corgi,,28000,109,105,143,74,68,58,132,66,61,101,102,134,101,Random,,Random ,20%,35%,30%,15%,GMT+1,,,,,,,,
,,Jorisa,TakkaTukka,,46000,108,105,77,69,62,100,101,CLOSED,,73,69,,,Random,,Big Spike,50%,25%,5%,20%,GMT+2,,,,,,,,
,TazzenC#8897,Tazz,Blossom,,9100,109,70,65,60,120,???,193,???,189,???,79,,,smol spike :o,,Random ,20%,35%,30%,15%,GMT +2,:),,,,,,,
,,Louie,Gold Isle,,11000,100,102,138,120,-,76,68,-,,,,,,Fluctuating,,Gentle Spike,45%,15%,25%,15%,GMT -4 / EST,,,,,,,,
,SpookyLord#1168,Spooky,Opalwood,SW-5899-5262-5689,8000,96,47,43,39,35,94,98,148,173,177,79,76,72,gentle spike,,Decreasing,25%,25%,45%,5%,GMT-5/CST,gods time zone,,,,,,,
,,Luce,Beast,,60000,106,94,90,86,81,76,71,66,59,54,,,46,Declining,,Big Spike,50%,25%,5%,20%,,,,,,,,,
,Daddy Dualscar (Pinkycat) #9895,Pinky,Caledon,,8220,94,70,66,61,56,53,49,72,105,148,166,163,54,,,,50%,25%,5%,20%,,,,,,,,,
,,Remi,Datlof,,23190,100,87,82,79,76,72,68,63,60,55,52,49,,Decreasing,,Big Spike,50%,25%,5%,20%,,,,,,,,,
,,BulldoZR,Oceara,,10400,96,127,,,,,,,,,,,,,,Big Spike,50%,25%,5%,20%,,,,,,,,,
,Speakerphone#2128,Stephen,demonreach,,,101,100,127,105,63,,,133,67,63,53,110,97,Fluctuating,,Gentle Spike,45%,15%,25%,15%,CST -6,Nooks Cranny will be closed for an upgrade Wed,,,,,,,
,,Tom,Hispaniola,,9300,99,87,84,80,97,183,361,,,,,,,Large Spike,,Gentle Spike,45%,15%,25%,15%,GMT -4 / EST,,,,,,,,
,curvesandnerves#4686,Nora,Coronatown,,4000,93,82,77,73,69,,,,,,,,,,,,,,,,,,,,,,,,
,Luminous Moose#5423,Dan,Kwarenteen,,9010,109,143,101,155,174,166,,52,48,43,,,,SS,,Random ,20%,35%,30%,15%,GMT -7,,,,,,,,
,Delightingale#1656,Jeanette,Mothra,,1500,94,78,73,69,66,-,132,,,,,,,GentleSpike,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
