There's an open island right now!,"Use the Active Dodo Code column to share your current Dodo Code while you're open, and take it down when you're done.",,,,,,,,,,,,,,,,,,
,Remember not to leave an island from the (-) menu as it can interfere with saving what was done!,,,,,,,,,,,,,,,,,,
Contact(Twitter/Discord),In-Game Name,Island,Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Pattern,Previous Pattern,Timezone,Other notes
@KnightCarmine/CarmineKnight#0114,Maddox,Knight,98,85,81,78,132,147,283,,,,,,,Big Spike,,,
@pacohertez/Oopswrongbutton ,Quitsalot,Peterland,97,58,54,52,48,44,40,96,130,138,142,,,,,,
rektï¿½ï¿½#,Daniel,KiYorSara,92,-,-,129,149,284,184,100,52,63,75,70,67,Gentle,,,
@naniichanx ,Levii ,Montecki ,110,114,119,131,118,,,,, ,,,,Fluctuating,,,
Acephalyss#3706,Lyss,Homko,90,113,109,151,,,,,,,,,,,,,
TomasCLK#2280,Aika,Erijima,104,89,84,81,76,71,67,63,59,54,50,47,42,,,,
Wabbie#6919,Dave,Alethela,91,42,39,36,32,28,24,104,,141,142,,40,Gentle Spike,,,
Craziness#6234,Matchi,Canchi,108,Closed,,-,56,120,132,141,146,101,132,74,65,Fluctuating,,,
@IsaBousseau/Izzy#4457,Izzy,Gilligan's,91,84,97,167,176,,,,,,,,,Gentle Spike,,,
Aiur#5143,Sylvain,Niwen,103,47,43,38,116,112,179,180,,,,,,GS,,,
,Eria,Chupiisla,104,121,102,169,171,,57,,,,,, ,Gentle Spike,,,
@Ri4dh/Riadh#3792,Riadh,Shmeow,101,114,125,,,,,,,,,,,Random,,,
@tigertigerplush / Tig0r#3984,Tiger,Isla Corgi,106,91,87,82,78,139,191,539,183,,92,75,76,Big Spike,,,
Yodas_farmor#1023,FarmorYoda ,Palice ,101,90,85,81,76,72,67,62,58,53,miss,46,42,Decreasing ,,,
SpookyLord#1168,Spooky,Opalwood,110,98,94,88,85,154,186,374,193,117,56,,,beeg spike,,,
julie#9522,Julie,Kokomo,106,87,82,79,74,71,66,,124,,,,,,,,
,Luce,Beast,110,,,,,,,,,,,,,,,,
,Leah,IslaNublar,105,99,122,121,105,140,97,71,64,56,,,,Fluctuating,,,
Speakerphone#2128,Stephen,demonreach,107,74,67,120,127,98,116,76,71,66,,,98,Random,,,
@msvolition (you & mia#6433),Eggy,Pearadise,105,95,145,139,103,114,106,65,56,116,74,,55,Random,,,
dAnkeykAnG#9311,matt,Coco,100,87,82,78,73,69,66,62,58,,,,,it aint good,,,
Daddy Dualscar (Pinkycat#9895),Pinky,Caledon,96,52,48,45,116,128,161,,,,,,,,,,
Scruff#7254,Eugene,P2X-3YZ,104,113,133,,,,,,,,,,,,,,
@PsychoPyro813,Bridie,Nevinova,107,96,92,87,83,78,74,69?,65,62,58,53,49,Decreasing,,,
,Jorisa,TakkaTukka,98,82,131,129,137,138,137,56,47,38,miss,30,27,GS,,,
@nudlez_isoland,Nudlez,Isoland ,93,101,107,96,127,128,62,58,49,96,88,62,56,Random,,,
,Akin,Insel,105,,,,,,,,,,,,,,,,
BonBon#8083,Bonnie,Yonaguni,103,107,,63,123,,63,,108,,,,,,,,
@mirzinho7,BadMorz,Perroville,104,92,88,83,78,,,,,,,,,80% chance BS,,,
,Amy,Aida,90,78,,,,,,,,,,,,,,,
@geekindustries,Cee,Pupeen,99,86,129,187,276,176,135,86,76,88,,,,,,,
ticketwreckaged#9699,Radirific,The Matrix,106,48,43,38,32,29,100,101,152,155,150,58,54,Gentle Spike,,,
Sargas-wielder,Sargador,Hobbiton,104,96,113,109,78,72,63,95,68,,,,,Fluctuating,,,
@chimlay,,,,97,91,86,83,77,73,100,144,165,186,155,86,,,,
GamingFS#6381 / @GamingFourStars,Gaming,Inkopolis,91,125,96,127,100,111,113,73,68,,,,,Random,,,
blackmarketcds#6228,Erin,Doggies,96,115,94,98,93,115,116,61,52,,,,,Random,,,
boxcar,su tart,inc foot,94,128,,,,,,,,,,,,,,,
Chocletbean#6140,Choclet,La Mirada,,,66,126,128,106,,,64,,,,,,,,
bttf#3042,Ben,Lumiï¿½ï,110,138,101,153,194,139,-,67,63,59,55,52,-,Small Spike,,,
Paint#2315,Paint,Honeycove,110,97,94,??,104,219,584,,,,,,,Big Spike,,,
@kingfishwes,Warsley,Isla Huevo,95,,79,75,72,69,65,,,,,,,Decreasing,,,
jarrjam,,,103,96,92,126,147,195,201,,,,,,,Small Spike,,,
Delightingale#1656,Jeanette,Mothra,105,x,100,,275,145,99,,,,,,,Big Spike,,,
HowTo#4665,jakob,relax land,104,,52,49,45,41,91,,160,150,,,72,small,,,
@Bean Party,Merg,Brunt,104,,90,,161,313,203,113,59,51,,55,,small,,,
@natalieinigo,Monty,MOCO,,,,,569,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,
Jupiter#8498,Janin,Hearthome,96,45,41,101,94,149,159,,,,,,,small spike,,,
@espurnaflama,Espurna,SummerSong,106,,69,,109,,66,57,46,133,,,,Random,,,
@nelson321,"R, Nelly",El Noa Noa,92,81,76,72,68,63,121,141,403,114,110,,,Big Spike,,,
@nelson321,,,$98,$57,$54,$74,$70,$66,$63,$60,$113,$152,$427,,,Big Spike,,,
@nelson321,,,$96,$119,$68,$62,$102,$68,miss,$54,$78,$106,$121,,,Random,,,
