62,https://discord.gg/uj7CCTT,"Due to the size of this community, we're moving to mainly use Discord to organize visits now, please join there if you haven't!",,,,,,,,,,,,,,,,,,,Your base chance for each pattern is:,,,,,,,,,,,,
,Join our Discord Family!,"(you may still use the Notes section to share a dodo code if you wish, or say that people can DM you for it!)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contact(Twitter/Discord),In-Game Name,Island,FC,# Bought,Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Pattern,Previous Pattern,Random,Gentle Spike,Big Spike,Decreasing,Timezone,Other notes,,,,,,,
,@KnightCarmine/CarmineKnight#0114,Maddox,Knight,,12000,96,90,70,63,111,,,,,,,,,Random,Big Spike,50%,25%,5%,20%,GMT -7 (PST),,,,,,,,
,@PsychoPyro813,Bridie,Nevinova,,40000,102,CLOSED,CLOSED,141,154,167,162,75,72,68,64,60,,Gentle Spike,Decreasing,25%,25%,45%,5%,GMT -5 (CDT),I'm so upset that my top price was under 200,,,,,,,
,@IsaBousseau/Izzy#4457,Izzy,Gilligan's,,8000,97,91,113,,,,,,,,,,,Random ,Gentle Spike,45%,15%,25%,15%,GMT + 1(CET),,,,,,,,
,@msvolition (you & mia#6433),Eggy,Pearadise,,9780,106,132,139,120,105,66,60,51,96,98,67,61,146,Random ,Random ,20%,35%,30%,15%,GMT -7 (PST),,,,,,,,
,HowTo#4665,jakob,relax land,,3750,107,142,137,,78,,61,,,162,142,,60,Gentle spike,Gentle Spike,45%,15%,25%,15%,GMT +2,,,,,,,,
,,Leah,IslaNublar,,4000,97,126,119,156,164,147,,68,,,,,,Gentle spike,Random ,20%,35%,30%,15%,PST,,,,,,,,
,Aiur#5143,Sylvain,Niwen,,6000,107,61,54,53,50,138,143,191,175,171,,,,GS,Gentle Spike,45%,15%,25%,15%,GMT +2,,,,,,,,
,Serena#8122,Serena,Isla Luna,,12000,94,98,130,,104,95,,72,62,57,92,,,,,,,,,,,,,,,,,
,Yodas_farmor#1023 ,FarmorYoda ,Palice ,,159550,109,62,58,54,143,144,miss,191,,,,,,,Decreasing,25%,25%,45%,5%,,,,,,,,,
,Wabbie#6919,Dave,Alethela,,"8,000",96,127,99,68,,,101,,68,62,,,,Random,Gentle Spike,45%,15%,25%,15%,GMT -6 (MDT),,,,,,,,
,SpookyLord#1168,Spooky,Opalwood,,8000,96,54,51,48,44,123,62,,,50,46,41,,Random,Big Spike,50%,25%,5%,20%,,,,,,,,,
,stephonee#9534,Stephonee,Tumbleleaf,,,97,87,83,78,134,181,396,168,,,,,,Big Spike ,Random ,20%,35%,30%,15%,GMT -4 (EDT),https://turnipprophet.io/?prices=97.87.83.78.134.181.396......&pattern=0,,,,,,,
,,Jorisa,TakkaTukka,,8000,109,94,88,84,81,76,72,67,64,60,54,50,,Decreasing,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,julie#9522,Julie,Kokomo,,,110,98,94,,85,80,,,,,,,,,Random ,20%,35%,30%,15%,GMT +2 (CET),,,,,,,,
,Zoyeah#0023,yeahEnzo,AhYeahLand,,20000,105,,,,,,,,,,,,,Random,Gentle Spike,45%,15%,25%,15%,GMT +8,,,,,,,,
,@chimlay,,,,0,,90,86,81,77,111,,381,197,128,,76,72,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,Tomas#7883,Aika,Erijima,,,101,87,84,80,77,73,69,64,61,57,54,49,45,Decreasing,Decreasing,25%,25%,45%,5%,,,,,,,,,
,@espurnaflama,Espurna,Summersong,,,96,125,98,119,70,63,55,97,108,108,,,,Random,Random ,20%,35%,30%,15%,GMT +1,,,,,,,,
,Sargas-wielder#5644,Sargador,Hobbiton,,144k,105,93,89,85,,,,,,,,,,BS/GS/decrease,Random ,20%,35%,30%,15%,GMT -4,,,,,,,,
,ticketwreckaged#9699,Radirific,The Matrix,,16000,99,62,57,47,128,130,120,62,55,,92,125,127,random,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,@IsaChan116 / iVictory Victor#2493,Viktopui,BlackHouse,SW-4939-2581-2009,alot,91,wokeup2l8,79,,,,,,,,,,,,Random ,20%,35%,30%,15%,,https://turnipprophet.io/?prices=91..79..........&pattern=0,,,,,,,
,sarahfailin,Warsley,Isla Huevo,,4000,103,88,85,81,138,147,,377,187,,,,,Large Spike,Decreasing,25%,25%,45%,5%,Pacific,,,,,,,,
,Speakerphone#2128,Stephen,demonreach,,8000,92,48,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paint#2315,Paint,Honeycove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,@galaxi_games_,Beans,ANXIETY,,,109,107,118,152,102,,,,,,,,,random,,,,,,EDT (GMT-4),"took a week off last week, using turnipprophet.io to predict prices",,,,,,,
,@Bean Party,Merg,Brunt,,410,101,87,83,,73,68,64,59,55,,,,,decreasing,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,dAnkeykAnG#9311,matt,Coco,,160000,95,84,125,175,506,134,,,,,,,,,,,,,,,,,,,,,,
,@nelson321,R. Nelly,El Noa Noa,,,98,miss,59,52,50,,,,,,,,,,Decreasing,25%,25%,45%,5%,,,,,,,,,
,bttf#3042,Ben,Lumiere,,,109,95,115,,,,,,,,,,,,Gentle Spike,45%,15%,25%,15%,,,,,,,,,
,,Choclet,La Mirada,,4000,100,110,113,,63,59,133,102,71,67,61,,,,,,,,,,,,,,,,,
,Delightingale,Jeanette,Mothra,,3000,109,128,117,138,76,69,59,136,125,x,69,135,153,Random,Big Spike,50%,25%,5%,20%,,,,,,,,,
,Dandelorme#0520,Dandelorme,,,3000,99,87,82,,,,,,,,,,,,,,,,,,,,,,,,,
,BonBon#8083,Bonnie,Yonaguni,,,100,74,71,67,63,,,,,,,,,,,,,,,UTC+2,,,,,,,,
,@Ri4dh/Riadh#3792,Riadh,Shmeow,,80000,99,77,73,69,65,,,,,,,,,GS,Random ,20%,35%,30%,15%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Random,Gentle Spike,Big Spike,Decreasing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Random ,0.20,0.35,0.30,0.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big Spike,0.50,0.25,0.05,0.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decreasing,0.25,0.25,0.45,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gentle Spike,0.45,0.15,0.25,0.15
